name,club,category,time
A. CONNER,HELM HILL,M/40,1:56,48
P. ELLWOOD,SETTLE HARRIERS,M/40,1:57,09
K. AYPE,S. SHIELDS H.,M/40,1:57,39
I. GREENFIELD,U/A,M,1:58,12
S. MITCHELL,NORTHUMBERLAND,F/40,1:58,16
A. WILSON,EDEN RUNNERS,F,1:58,17
A. PETTIT,CRAVEN F.,M/40,1:58,18
S. BAISTON,WHARFEDALE,M,1:58,29
G. ECCLES,CLAYTON-LE-MOOR,M/40,1:58,37
R. QUALE,BARROW STR.,M/50,1:58,57
C. SCHOFIELD,HELM HILL,M/40,1:59,04
R. WOODLAND,U/A,M/50,1:59,17
J. BELLIS,U/A,F/50,1:59,26
R. STEELS,U/A,M,1:59,31
D. STEELS,U/A,M,1:59,32
R. GRIFFITHS,U/A,,1:59,37
P. DEVIN,KENDAL,M/40,2:00,03
G. WRIGHT,ROSSENDALE,M/60,2:00,15
A. DOGGETT,DEESIDE,M/50,2:00,21
T. AITKEN,AMBLESIDE,M/50,2:00,21
F. HEATH,NUNEATON,M/40,2:00,32
M. HOBSON,ROCHDALE H.,M/50,2:00,42
D. ASKEW,HARROGATE,M/40,2:00,53
R. BRISCOE,CLAYTON-LE-MOOR,M,2:01,02
M. McGOUGH,ESK VALLEY,M/40,2:02,53
D. APPLEYARD,HELM HILL,M/40,2:03,05
M. WALSH,BOWLAND,M/50,2:03,46
B. DREDGE,MERCIA,M/50,2:03,52
S. BROWN,U/A,M/40,2:03,52
M. BEVERLY,RANELAGH,M/50,2:03,59
J. SHAW,U/A,M,2:04,01
C. MUSETTI,AMBLESIDE,F/40,2:04,08
G. FOSTER,DURHAM,M/40,2:04,19
D. RICHARDS,HELM HILL,M/50,2:06,15
H M,AMBLESIDE,F,2:06,34
B. SAVAGE,CLAYTON-LE-MOOR,F/40,2:06,45
P. SESSFORD,KEIGHLEY,M,2:06,55
J POWELL,WHARFEDALE,F/40,2:07,18
R. PICKETT,BOWLAND,M/60,2:07,29
D. McHUGH,U/A,M/40,2:08,14
P. BELLIS,BOLTON,M/50,2:08,38
S. LEONARD,HOUGHTON,M/40,2:09,14
P. REED,NFR,M/60,2:09,25
A. FRAME,BINGLEY,M/40,2:13,12
D. PERRY,AMBLESIDE,F/50,2:13,22
P. CARTER,PRESTON H.,M/40,2:14,11
S. MUNN,SKIPTON,M/50,2:14,12
M. COLES,VALLEY STRIDES,M/70,2:16,05
D. TIMMIS,NORTH YORKS.,M/60,2:16,35
J. LAYCOCK,AMBLESIDE,F/60,2:17,54
B. SLATER,SETTLE HARRIERS,M/50,2:18,20
P. WALSH,BOWLAND,M/60,2:18,31
P. GILCHRIST,KESWICK,M/60,2:18,55
L. WHITTAKER,WHARFEDALE,M/40,2:19,36
A. HOLDEN,WHARFEDALE,M/40,2:19,37
R. WILLISON,SIN FIN,M/40,2:20,18
P. STEVENSON,U/A,M/50,2:20,22
P. POZMAN,WETHERBY,M/50,2:20,34
P. DOWKER,KENDAL,M/60,2:21,07
A. BIDDLE,W. PENNINE,M/50,2:22,01
G. JAMES,B.W.F AC,M/60,2:22,37
W. BIRKETT,U/A,F/50,2:22,55
J. BIRKETT,U/A,M/50,2:22,55
T. SAKHAROV,CANADE,F,2:23,16
G. SHARPLES,EDEN R.,F/40,2:25,02
R. BELL,AMBLESIDE,M/70,2:26,36
A. DORLAN,WHARFEDALE,F,2:30,37
R. TAIT,SWALEDALE,M/50,2:30,55
R. HANDFIELD,SETTLE HARRIERS,M/50,2:32,05
C. JAMIESON,ESK. VALLEY,M/50,2:33,06
K. McGARTH,AMBLESIDE,F/40,2:34,52
J. MARLER,OPTIMA,M/60,2:37,28
D. WOOD,BORROWDALE,M/60,2:39,20
P. WHITING,KENDAL,M/50,3:37,17
R. BERENDS,,F,RETIRED
